id,id_origen,objetivo_de_la_iniciativa,breve_descripcion,tipo_de_proyecto,codigo_de_sistema,sistema_de_abastecimiento,zona,prioridad,plazo,costo,estado,principal_reto_por_superar,observacion,responsabilidad_atencion,activo,caudal_estimado_lps,volumen_estimado_m3,km_estimado
116,,Regularizar propiedades y servidumbres de infraestructura operativa,"Regularización de propiedades y servidumbres donde existen captaciones, desarenadores, tuberías, plantas potabilizadoras, tanques y estaciones de bombeo.",Regularización jurídica de infraestructura y terrenos,Todas las plantas potabilizadoras,Todos los sistemas AyA,,,,,,"Levantamientos topográficos, estudios registrales, planos catastrados, avalúos y formalización de derechos sobre terrenos y servidumbres.",Impacto principal: continuidad. Ruta propuesta: por definir / propuesta de contratación. No requiere solicitud de necesidad de proyecto. Ejecución: PyD / Contratación.,,,,,
117,,"Mejorar bombeo, condición eléctrica y protecciones en Lajas","Lajas: bomba adecuada, mejora eléctrica y protecciones. No existe bomba adecuada ni condiciones electromecánicas ideales; se propone bomba sumergible y mejora eléctrica.",Optimización,MEA29,ME-A-29 Lajas,,,,,,"Validar condiciones hidráulicas, diseñar la solución y ejecutar ajustes operativos o constructivos.",ID 66; Zona: Zona 3; Pri.: Urgente; Plazo: Corto; Costo: Mediano; Estado: Pendiente.,,,,,
118,,Reconfigurar abastecimiento para retirar tomas superficiales El Hoyo,"Reconfigurar abastecimiento para retirar tomas superficiales El Hoyo. Se plantea sacar de operación las tomas superficiales de El Hoyo que abastecen Hoja Blanca, Calle Holandés y Calle Jesús León, y evaluar ingreso de agua clorada desde Briceño u otra fuente segura.",Optimización,MEA12,ME-A-12 Quitirrisi (Ciudad Colon),,,,,,"Validar condiciones hidráulicas, diseñar la solución y ejecutar ajustes operativos o constructivos.",ID 67; Zona: Zona 3; Pri.: Urgente; Plazo: Corto a mediano; Costo: Alto; Estado: Pendiente.,,,,,
119,,Regularizar o reubicar conducción sin servidumbre en Briceño - Hoyo,"Regularizar o reubicar conducción sin servidumbre. Se identificó una tubería que atraviesa propiedades privadas sin servidumbre formal, con antecedentes de reparaciones en el sitio.",Regularización jurídica de infraestructura y terrenos,MEA12,ME-A-12 Quitirrisi (Ciudad Colon),,,,,,"Regularizar terrenos, accesos, servidumbres y derechos de paso de infraestructura existente.",ID 68; Zona: Zona 3; Pri.: Urgente; Plazo: Mediano; Costo: Mediano; Estado: Pendiente.,,,,,
120,,Construir nueva conducción desde tanque Pico Blanco hacia sectores altos,"Nueva conducción desde tanque Pico Blanco con derivaciones y VRP. Se discutió que el tanque Pico Blanco ronda cota 1500 msnm y podría permitir una línea de conducción para sectores altos, con interconexiones a distribución y reguladoras de presión en derivaciones.",Mejora en trasvase de agua entre sistemas de abastecimiento,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Validar condiciones hidráulicas, diseñar la solución y ejecutar ajustes operativos o constructivos.",ID 69; Zona: Zona 3; Pri.: Importante; Plazo: Mediano; Costo: Alto; Estado: Pendiente.,,,5.0,,
121,,Recuperar sexta fuente de Lajas y sustituir conducción dañada,"Recuperar sexta fuente de Lajas y sustituir conducción dañada. Se localizó una sexta fuente no incorporada al sistema, con aforo aproximado cercano a 1 L/s en verano; la tubería de conducción está completamente dañada y requiere sustitución.",Aumento de Recurso Hídrico,MEA29,ME-A-29 Lajas,,,,,,"Validar condiciones hidráulicas, diseñar la solución y ejecutar ajustes operativos o constructivos.",ID 70; Zona: Zona 3; Pri.: Urgente; Plazo: Corto; Costo: Mediano; Estado: Pendiente.,,,1.0,,
122,,"Construir tanque pequeño, cloración y conexión a tubería de 3 pulgadas en Lajas","Construir tanque pequeño, cloración y conexión a tubería de 3 pulgadas. Como solución rápida, se propone construir tanque pequeño tipo Calle El Alto, derivar agua hacia Lajas, instalar cloración y alimentar la tubería nueva de 3 pulgadas.",Mejora en Almacenamiento,MEA29,ME-A-29 Lajas,,,,,,"Definir sitio, capacidad, diseño y financiamiento para aumentar regulación y reserva operativa.",ID 71; Zona: Zona 3; Pri.: Urgente; Plazo: Corto a mediano; Costo: Mediano a alto; Estado: Pendiente.,,,,500.0,
123,,Investigar punto recurrente con agua no potable en Higuerones,Investigar punto con agua no potable y ejecutar lavado o corrección. Se indicó que existe un punto donde la muestra no da potable de forma recurrente; se desconoce si la causa son tuberías sucias u otra condición de la fuente.,Mejora en procesos de potabilización,MEA12,ME-A-12 Quitirrisi (Ciudad Colon),,,,,,"Identificar causa de afectación de calidad y ejecutar correcciones en fuente, conducción o tratamiento.",ID 72; Zona: Zona 3; Pri.: Urgente; Plazo: Corto; Costo: Bajo a mediano; Estado: Pendiente.,,,,,
124,,Aprovechar rebalse de Lajas para alimentar tanque El Carmen,"Aprovechar rebalse de Lajas para alimentar tanque El Carmen. Se planteó utilizar la tubería existente desde Naranjal hacia Lajas, mediante cajas y buen valvuleo, para introducir agua del rebalse de Lajas al tanque El Carmen y reducir carga al sistema Naranjal en invierno.",Mejora en trasvase de agua entre sistemas de abastecimiento,MEA29,ME-A-29 Lajas,,,,,,"Validar condiciones hidráulicas, diseñar la solución y ejecutar ajustes operativos o constructivos.",ID 73; Zona: Zona 3; Pri.: Importante; Plazo: Corto a mediano; Costo: Mediano; Estado: Pendiente.,,,5.0,,
125,,Mejorar bombeo hacia tanque Las Mulas,"Mejorar bombeo hacia tanque Las Mulas. El tanque Las Mulas no logra llenarse; las bombas pequeñas desde Bebedero se prenden y apagan constantemente y el abastecimiento hacia Las Mulas, Alto Raicero y parte de Bebedero resulta insuficiente.",Optimización,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Validar condiciones hidráulicas, diseñar la solución y ejecutar ajustes operativos o constructivos.",ID 74; Zona: Zona 3; Pri.: Urgente; Plazo: Corto a mediano; Costo: Mediano a alto; Estado: Pendiente.,,,,,
126,,Controlar conexiones irregulares y pérdidas en Las Cabañas / Las Mulas,Control físico de conexiones irregulares y pérdidas en precario. Se señaló un pequeño precario donde se reportan pérdidas y conexiones que afectan la tubería y podrían incidir en el desabastecimiento del tanque Las Mulas; se valoró colocar tramo de hierro protegido.,Ordenamiento comercial,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Regularizar conexiones, consumos, facturación y control físico-comercial del sector.",ID 75; Zona: Zona 3; Pri.: Urgente; Plazo: Corto; Costo: Bajo a mediano; Estado: Pendiente.,,,,,
127,,Reparar fugas y revisar bombeo hacia Carrizal,"Reparar fugas y revisar capacidad de bombeo hacia Carrizal. Se reportan problemas importantes con los bombeos de Corazón de Jesús hacia Carrizal; el tanque cuesta que llene, presenta fugas recurrentes y si no se llena no bombea hacia Tanque Luis Cero ni sectores asociados.",Mantenimiento Correctivo y Preventivo,MEA19,ME-A-19 Puente Mulas,,,,,,"Validar condiciones hidráulicas, diseñar la solución y ejecutar ajustes operativos o constructivos.",ID 76; Zona: Zona 3; Pri.: Urgente; Plazo: Corto; Costo: Mediano a alto; Estado: Pendiente.,,,,,
128,,Desarrollar bombeo desde Monasterio hacia sectores altos,"Desarrollar bombeo desde Monasterio hacia sectores altos. Se comentó un proyecto para bombear desde Tanque Monasterio en sentido inverso, con el fin de mejorar Las Mulas, Matinilla y otros sectores altos.",Mejora en trasvase de agua entre sistemas de abastecimiento,MEA19,ME-A-19 Puente Mulas,,,,,,"Definir esquema hidráulico, fuente, almacenamiento y redes para ampliar o reconfigurar cobertura.",ID 77; Zona: Zona 3; Pri.: Estratégico; Plazo: Mediano; Costo: Alto; Estado: Pendiente.,,,20.0,,
129,,Construir nueva tubería y eventual tanque en Ventolera para reforzar Matinilla,"Nueva tubería y eventual tanque en Ventolera para reforzar Matinilla. Se indicó que hacia Matinilla no existe tubería en ruta propuesta y que posible tanque municipal en Ventolera permitiría llevar agua hacia Fuente Venegas, donde se realizan cierres diarios para dar agua a la parte alta.",Mejora en trasvase de agua entre sistemas de abastecimiento,MEA19,ME-A-19 Puente Mulas,,,,,,"Definir esquema hidráulico, fuente, almacenamiento y redes para ampliar o reconfigurar cobertura.",ID 78; Zona: Zona 3; Pri.: Importante; Plazo: Mediano; Costo: Alto; Estado: Pendiente.,,,5.0,,
130,,Atender fuente Berral y fuente que se seca en verano,"Atender fuente que se seca en verano y se enturbia en invierno. Se describe fuente que se seca todos los veranos y, junto con Fuente Berral, se vuelve muy turbia en invierno.",Aumento de Recurso Hídrico,MEA24,ME-A-24 Matinilla,,,,,,"Confirmar disponibilidad de caudal, definir fuente o esquema de aprovechamiento y ejecutar infraestructura asociada.",ID 79; Zona: Zona 3; Pri.: Importante; Plazo: Mediano; Costo: Mediano; Estado: Pendiente.,,,1.0,,
131,,Reforzar operación de Salitral por cierre nocturno diario,"Reforzar operación por cierre nocturno diario de Salitral. El sistema de Salitral debe cerrarse diariamente en época seca para recuperar nivel, evidenciando limitación estacional de la toma del río Uruca.",Aumento de Recurso Hídrico,MEA05,ME-A-05 Salitral,,,,,,"Confirmar disponibilidad de caudal, definir fuente o esquema de aprovechamiento y ejecutar infraestructura asociada.",ID 80; Zona: Zona 3; Pri.: Urgente; Plazo: Corto; Costo: Bajo a mediano; Estado: Pendiente.,,,1.0,,
132,,Rehabilitar tanque Salitral por fugas,Rehabilitar tanque Salitral por fugas. Se indicó que el tanque asociado a Salitral está lleno de fugas y que se pierde una cantidad importante de agua.,Mantenimiento Correctivo y Preventivo,MEA05,ME-A-05 Salitral,,,,,,Atender fallas existentes y recuperar la funcionalidad de infraestructura crítica.,ID 81; Zona: Zona 3; Pri.: Urgente; Plazo: Corto; Costo: Mediano; Estado: Pendiente.,,,,,
133,,Atender fuente Cangrejal intermitente y situación de Los Montoya,"Atender fuente Cangrejal intermitente y situación de Los Montoya. La fuente Cangrejal es intermitente, se ensucia y genera quejas; el tanque de Montoya recibe bombeo desde la planta. Existe antecedente de asunción parcial con documentación pendiente de localizar.",Aumento de Recurso Hídrico,MEA05,ME-A-05 Salitral,,,,,,"Confirmar disponibilidad de caudal, definir fuente o esquema de aprovechamiento y ejecutar infraestructura asociada.",ID 82; Zona: Zona 3; Pri.: Importante; Plazo: Mediano; Costo: Mediano; Estado: Pendiente.,,,1.0,,
134,,Abastecer parte de Chirracal desde Monasterio para descargar Salitral,"Abastecer parte de Chirracal desde Monasterio para descargar Salitral. Se planteó mejorar Chirracal con agua desde Monasterio en lugar de Salitral, quitando carga a la planta para que quede mayor disponibilidad.",Mejora en trasvase de agua entre sistemas de abastecimiento,MEA05,ME-A-05 Salitral,,,,,,"Definir esquema hidráulico, fuente, almacenamiento y redes para ampliar o reconfigurar cobertura.",ID 83; Zona: Zona 3; Pri.: Importante; Plazo: Mediano; Costo: Mediano a alto; Estado: Pendiente.,,,5.0,,
135,,Derivar desde Monasterio-Salitral y valorar tanque en La Chimba,Derivar desde Monasterio-Salitral y valorar tanque en La Chimba. Se discutió dejar derivación de 30 a 40 L/s en la mejora Monasterio-Salitral y colocar tanque en La Chimba para abastecer Barrio España y Cebadilla con elevación adecuada.,Mejora en trasvase de agua entre sistemas de abastecimiento,MEA23,ME-A-23 Barrio Espana,,,,,,"Definir esquema hidráulico, fuente, almacenamiento y redes para ampliar o reconfigurar cobertura.",ID 84; Zona: Zona 3; Pri.: Urgente; Plazo: Corto a mediano; Costo: Alto; Estado: Pendiente.,,,40.0,,
136,,Verificar viviendas sin hidrómetro y posibles conexiones irregulares en Barrio España,"Verificar viviendas sin hidrómetro y posibles conexiones irregulares. Se señaló un grupo de casas sin hidrómetros visibles en un fondo del sector, con posibilidad de conexión irregular o conexión a un hidrómetro existente.",Ordenamiento comercial,MEA23,ME-A-23 Barrio Espana,,,,,,"Regularizar conexiones, consumos, facturación y control físico-comercial del sector.",ID 85; Zona: Zona 3; Pri.: Urgente; Plazo: Corto; Costo: Bajo; Estado: Pendiente.,,,,,
137,,Ordenar y sustituir red de distribución tipo maraña en Barrio España / Cebadilla,"Ordenar y sustituir red de distribución tipo maraña. Se describió una red de distribución inadecuada, con una maraña de tuberías hacia la parte baja del sector, que conviene cambiar y ordenar.",Sustitución de tuberías,MEA23,ME-A-23 Barrio Espana,,,,,,"Priorizar, diseñar y financiar la sustitución de redes o conducciones deterioradas.",ID 86; Zona: Zona 3; Pri.: Importante; Plazo: Corto a mediano; Costo: Mediano a alto; Estado: Pendiente.,,,,,2.0
138,,Relocalizar bombeo público a predio AyA en Hacienda Paraíso / Calle San Marcos,"Relocalizar bombeo público a predio AyA. El bombeo público está en sitio inapropiado; se coordina con municipalidad para mover cercas y trasladarlo a propiedad de AyA, con participación de topografía y personal de bombeo.",Regularización jurídica de infraestructura y terrenos,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Regularizar terrenos, accesos, servidumbres y derechos de paso de infraestructura existente.",ID 87; Zona: Zona 3; Pri.: Importante; Plazo: Corto a mediano; Costo: Mediano; Estado: Pendiente.,,,,,
139,,Resolver baja presión en Calle San Marcos / El Triunfo / Matra - Brasil,"Resolver baja presión por dependencia directa de Matra y falta de amortiguamiento. Una tubería cruza río y propiedades a campo traviesa para abastecer El Triunfo; cuando opera Matra o se llena tanque Brasil, sectores pierden presión. Se valora tanque en propiedad que podrían donar.",Mejora en Almacenamiento,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Definir esquema hidráulico, fuente, almacenamiento y redes para ampliar o reconfigurar cobertura.",ID 88; Zona: Zona 3; Pri.: Urgente; Plazo: Mediano; Costo: Alto; Estado: Pendiente.,,,,500.0,
140,,Regularizar o reubicar tuberías profundas dentro de condominio,"Regularizar o reubicar tuberías profundas dentro de condominio. El pozo y tuberías del sistema pasan por debajo de una piscina y propiedades privadas; se reportó tubería a 6 m de profundidad y red en estado fatal, fuera de calle pública.",Regularización jurídica de infraestructura y terrenos,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Priorizar, diseñar y financiar la sustitución de redes o conducciones deterioradas.",ID 89; Zona: Zona 3; Pri.: Urgente; Plazo: Mediano; Costo: Alto; Estado: Pendiente.,,,,,
141,,Evaluar reactivación de pozos de Corteza Amarilla o alternativa hidrogeológica,"Evaluar reactivación de pozos de Cortés Amarilla o alternativa hidrogeológica. Se identifican pozos con potencial de 1,7 L/s y otro menor en contexto condominal; se valoró convenio similar a Pedregal o buscar un pozo alterno mediante estudio hidrogeológico.",Aumento de Recurso Hídrico,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Confirmar disponibilidad de caudal, definir fuente o esquema de aprovechamiento y ejecutar infraestructura asociada.",ID 90; Zona: Zona 3; Pri.: Importante; Plazo: Mediano; Costo: Mediano a alto; Estado: Pendiente.,,,1.7,,
142,,Optimizar excedentes de Pozo Castilla hacia tanque Edward y Villacón,"Optimizar excedentes de Pozo Castilla hacia tanque Edward y Villacón. Pozo Castilla llena tanque Edward y luego bombea hacia Cortés Amarilla. Se planteó utilizar excedentes de invierno o rebalses para aportar a Villacón, con reacomodo de conducción.",Aumento de Recurso Hídrico,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Confirmar disponibilidad de caudal, definir fuente o esquema de aprovechamiento y ejecutar infraestructura asociada.",ID 91; Zona: Zona 3; Pri.: Importante; Plazo: Corto a mediano; Costo: Mediano; Estado: Pendiente.,,,1.0,,
143,,Verificar pozo fuera de operación cerca de Corteza Amarilla,"Verificar pozo fuera de operación y oportunidad de recuperación. Se comentó la existencia de un pozo que fue sacado de operación en un terreno del AyA o cercano, asociado a expansión de vivienda; se considera una oportunidad a revisar.",Aumento de Recurso Hídrico,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Confirmar disponibilidad de caudal, definir fuente o esquema de aprovechamiento y ejecutar infraestructura asociada.",ID 92; Zona: Zona 3; Pri.: Importante; Plazo: Mediano; Costo: Por definir; Estado: Pendiente.,,,1.0,,
144,,Verificar servidumbre de acceso y estado del tanque Rodríguez,"Verificar servidumbre de acceso y estado del tanque Rodríguez. Se indicó que el tanque Rodríguez estaría en propiedad del AyA, pero no se tiene claridad sobre servidumbre/acceso formal; el ingreso se realiza por una casa y portón.",Regularización jurídica de infraestructura y terrenos,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Formalizar servidumbres, terrenos y accesos para operación y mantenimiento.",ID 93; Zona: Zona 3; Pri.: Importante; Plazo: Corto a mediano; Costo: Bajo a mediano; Estado: Pendiente.,,,,,
145,,Investigar alimentación desconocida del tanque Retana,Investigar alimentación desconocida del tanque Retana. El tanque Retana se mantiene lleno aunque Pozo Piquín trabaja muy poco; se desconoce si existe conexión desde ASADA u otra interconexión no identificada hacia el tanque.,Relación con ASADAS y terceros,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Ordenar la relación institucional, legal, comercial y operativa con terceros.",ID 94; Zona: Zona 3; Pri.: Urgente; Plazo: Corto; Costo: Bajo a mediano; Estado: Pendiente.,,,,,
146,,Aprovechar Pozo Piquín para reforzar Corteza Amarilla y sectores cercanos,"Aprovechar Pozo Piquín para reforzar Cortés Amarilla y sectores cercanos. Pozo Piquín tendría aforos aproximados de 4 a 5 L/s; se propone evaluar conducción hacia Tanque Edward, Cortés Amarilla u otros sectores, según caudal disponible.",Aumento de Recurso Hídrico,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Confirmar disponibilidad de caudal, definir fuente o esquema de aprovechamiento y ejecutar infraestructura asociada.",ID 95; Zona: Zona 3; Pri.: Estratégico; Plazo: Mediano; Costo: Alto; Estado: Pendiente.,,,5.0,,
147,,Sustituir tubería de una pulgada y formular proyecto en Bajo Sardinal,Sustituir tubería de una pulgada y formular proyecto de ampliación. En Bajo Sardinal existe tubería de una pulgada y se requiere proyecto; hay antecedente de extensión de 150 mm hasta el frente del predio/colegio.,Sustitución de tuberías,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Priorizar, diseñar y financiar la sustitución de redes o conducciones deterioradas.",ID 96; Zona: Zona 3; Pri.: Importante; Plazo: Mediano; Costo: Alto; Estado: Pendiente.,,,,,2.0
148,,Sustituir o reubicar conducción a campo traviesa hacia San Bosco,"Sustituir o reubicar conducción a campo traviesa hacia San Bosco. La tubería desde Planta Quitirrisí hasta San Bosco va a campo traviesa, con presiones muy altas y reparaciones complejas; se calificó como una bomba de tiempo.",Sustitución de tuberías,MEA12,ME-A-12 Quitirrisi (Ciudad Colon),,,,,,"Priorizar, diseñar y financiar la sustitución de redes o conducciones deterioradas.",ID 97; Zona: Zona 3; Pri.: Urgente; Plazo: Mediano; Costo: Alto; Estado: Pendiente.,,,,,10.0
149,,Renovar redes de una pulgada o menores en Ticufres / Quebrada Honda,Renovar redes de una pulgada o menores y atender bajas de verano. Ticufres baja mucho en verano; se menciona afectación puntual a una usuaria y redes de Quebrada Honda/Ticufres de una pulgada o menos.,Sustitución de tuberías,MEA26,ME-A-26 Ticufres-Quebrada Honda,,,,,,"Priorizar, diseñar y financiar la sustitución de redes o conducciones deterioradas.",ID 98; Zona: Zona 3; Pri.: Importante; Plazo: Corto a mediano; Costo: Mediano a alto; Estado: Pendiente.,,,,,5.0
150,,Continuar cambio de redes y reconfiguración para evitar caída de Villacón,"Continuar cambio de redes y reconfiguración para evitar caída de Villacón. Cuando se abren pozos para Calle Cubilla, baja Villacón; al cerrar, sube Villacón pero Calle Cubilla queda sin agua. Ya se hicieron cajas y se están cambiando redes.",Sustitución de tuberías,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Priorizar, diseñar y financiar la sustitución de redes o conducciones deterioradas.",ID 99; Zona: Zona 3; Pri.: Importante; Plazo: Corto a mediano; Costo: Mediano; Estado: Pendiente.,,,,,2.0
151,,Separar impulsión y distribución en Lomas Real,"Separar impulsión y distribución en Lomas Real. El tanque funciona de cola y existe una sola línea para impulsión y distribución; cuando el bombeo se apaga, el sector pierde presión de inmediato. Se requiere impulsión nueva o línea separada.",Sustitución de tuberías,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Priorizar, diseñar y financiar la sustitución de redes o conducciones deterioradas.",ID 100; Zona: Zona 3; Pri.: Importante; Plazo: Mediano; Costo: Mediano a alto; Estado: Pendiente.,,,,,2.0
152,,Renovar tuberías viejas y de diámetros pequeños en sector oeste,"Renovar tuberías viejas y de diámetros pequeños. En centro de Escazú, partes de Santa Ana y Colón predominan tuberías viejas y diámetros pequeños; también se mencionó cambio gradual de polietileno en Escazú.",Sustitución de tuberías,MEA19,ME-A-19 Puente Mulas,,,,,,"Priorizar, diseñar y financiar la sustitución de redes o conducciones deterioradas.",ID 101; Zona: Zona 3; Pri.: Estratégico; Plazo: Mediano a largo; Costo: Alto; Estado: Pendiente.,,,,,5.0
153,,Reordenar y redistribuir producción de pozos activos,Reordenar y redistribuir producción de pozos activos. Se concluye que varios pozos activos podrían no estar aprovechándose adecuadamente; se sugiere reordenamiento y redistribución del recurso hídrico para definir aprovechamientos por sector.,Aumento de Recurso Hídrico,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Confirmar disponibilidad de caudal, definir fuente o esquema de aprovechamiento y ejecutar infraestructura asociada.",ID 102; Zona: Zona 3; Pri.: Estratégico; Plazo: Mediano; Costo: Mediano; Estado: Pendiente.,,,10.0,,
154,,"Mejorar almacenamiento y bombeos en Los Sitios, Las Nubes y Chiverrales","Almacenamiento y bombeos en Los Sitios, Las Nubes y Chiverrales. Necesidad general de almacenamiento y bombeos; tanque Escuela Las Nubes y refuerzo bombeado hacia Chiverrales.",Mejora en Almacenamiento,MEA04,ME-A-04 Los Sitios,,,,,,"Validar condiciones hidráulicas, diseñar la solución y ejecutar ajustes operativos o constructivos.",ID 103; Zona: Zona 4; Pri.: Estratégico; Plazo: Mediano; Costo: Alto; Estado: Pendiente.,,,,5000.0,
155,,Aumentar producción del sistema San Pablo,Aumento de producción pues el sistema es deficitario. Se requiere perforación y equipamiento de los pozos La Meseta 2 y Las Cruces.,Aumento de Recurso Hídrico,MEA15,ME-A-15 San Pablo,,,,,,"Confirmar disponibilidad de caudal, definir fuente o esquema de aprovechamiento y ejecutar infraestructura asociada.",ID 104; Zona: Zona 4; Pri.: Estratégico; Plazo: Mediano a largo; Costo: Mediano; Estado: Pendiente.,,,20.0,,
156,,Aumentar producción de La Finca mediante trasvase hacia PP San Rafael,Aumento de producción pues el sistema es deficitario. Analizar propuesta de trasvase La Finca - PP San Rafael.,Mejora en trasvase de agua entre sistemas de abastecimiento,MEA14,ME-A-14 San Rafael de Coronado,,,,,,"Confirmar disponibilidad de caudal, definir fuente o esquema de aprovechamiento y ejecutar infraestructura asociada.",ID 105; Zona: Zona 4; Pri.: Estratégico; Plazo: Mediano a largo; Costo: Mediano; Estado: Pendiente.,,,10.0,,
157,,Aumentar producción de Chiverrales mediante trasvase desde PP San Rafael,Aumento de producción pues el sistema es deficitario. Analizar propuesta de trasvase PP San Rafael - Chiverrales.,Mejora en trasvase de agua entre sistemas de abastecimiento,MEA21,ME-A-21 Chiverrales,,,,,,"Confirmar disponibilidad de caudal, definir fuente o esquema de aprovechamiento y ejecutar infraestructura asociada.",ID 106; Zona: Zona 4; Pri.: Estratégico; Plazo: Mediano a largo; Costo: Mediano; Estado: Pendiente.,,,10.0,,
158,,Aumentar producción del sistema Pizote,Aumento de producción pues el sistema es deficitario.,Aumento de Recurso Hídrico,MEA22,ME-A-22 Pizote,,,,,,"Confirmar disponibilidad de caudal, definir fuente o esquema de aprovechamiento y ejecutar infraestructura asociada.",ID 107; Zona: Zona 4; Pri.: Estratégico; Plazo: Mediano a largo; Costo: Mediano a alto; Estado: Pendiente.,,,5.0,,
159,,Aumentar producción de La Finca mediante trasvase Ipís-Coronado-La Finca y nuevo pozo,"Aumento de producción pues el sistema es deficitario. Propuesta de trasvase Ipís - Coronado - La Finca con caudal de Guadalupe, así como nuevo pozo La Finca.",Mejora en trasvase de agua entre sistemas de abastecimiento,MEA08,ME-A-08 Los Cuadros,,,,,,"Confirmar disponibilidad de caudal, definir fuente o esquema de aprovechamiento y ejecutar infraestructura asociada.",ID 108; Zona: Zona 4; Pri.: Estratégico; Plazo: Mediano a largo; Costo: Mediano a alto; Estado: Pendiente.,,,20.0,,
160,,Aumentar producción del sistema Mata de Plátano,Aumento de producción pues el sistema es deficitario.,Aumento de Recurso Hídrico,MEA10,ME-A-10 Mata de Plátano,,,,,,"Confirmar disponibilidad de caudal, definir fuente o esquema de aprovechamiento y ejecutar infraestructura asociada.",ID 109; Zona: Zona 4; Pri.: Estratégico; Plazo: Mediano a largo; Costo: Mediano a alto; Estado: Pendiente.,,,5.0,,
161,,Construir nuevo tanque en Escuela Las Nubes de Coronado,Nuevo tanque en Escuela Las Nubes de Coronado.,Mejora en Almacenamiento,MEA21,ME-A-21 Chiverrales,,,,,,"Definir sitio, capacidad, diseño y financiamiento para aumentar regulación y reserva operativa.",ID 110; Zona: Zona 4; Pri.: Estratégico; Plazo: Mediano a largo; Costo: Mediano a alto; Estado: Pendiente.,,,,1000.0,
162,,Regular distribución en Vista Mar para sector El Durazno,"Regulación en la distribución para sector El Durazno, final de red del sistema.",Optimización,MEA28,ME-A-28 Vista de Mar,,,,,,"Validar condiciones hidráulicas, diseñar la solución y ejecutar ajustes operativos o constructivos.",ID 111; Zona: Zona 4; Pri.: Estratégico; Plazo: Corto a mediano; Costo: Mediano a alto; Estado: Pendiente.,,,,,
163,,Instalar VSP para mejorar abastecimiento en La Isla de Moravia,Se requiere VSP para mejorar condiciones de abastecimiento en La Isla de Moravia.,Optimización,MEA04,ME-A-04 Los Sitios,,,,,,"Validar condiciones hidráulicas, diseñar la solución y ejecutar ajustes operativos o constructivos.",ID 112; Zona: Zona 4; Pri.: Estratégico; Plazo: Corto a mediano; Costo: Bajo; Estado: Pendiente.,,,,,
164,,Trasladar zona de presión Barrio Saprissa a tanques de Guadalupe,Traslado zona de presión Barrio Saprissa a tanques de Guadalupe.,Mejora en trasvase de agua entre sistemas de abastecimiento,MEA04,ME-A-04 Los Sitios,,,,,,"Definir esquema hidráulico, fuente, almacenamiento y redes para ampliar o reconfigurar cobertura.",ID 113; Zona: Zona 4; Pri.: Estratégico; Plazo: Mediano; Costo: Bajo a mediano; Estado: Pendiente.,,,2.0,,
165,,Sustituir impulsión PP Los Sitios - Platanares en Calle El Ruano,"Se requiere sustitución de tubería impulsión PP Los Sitios - Platanares, tramo Calle El Ruano, por altas presiones y alta incidencia de fugas.",Sustitución de tuberías,MEA04,ME-A-04 Los Sitios,,,,,,"Priorizar, diseñar y financiar la sustitución de redes o conducciones deterioradas.",ID 114; Zona: Zona 4; Pri.: Estratégico; Plazo: Corto a mediano; Costo: Mediano; Estado: Pendiente.,,,,,5.0
166,,"Sustituir tubería de distribución en Calle Limburgia, Calle Elías y Calle Leandro","Se requiere sustitución de tubería distribución en Calle Limburgia, Calle Elías y Calle Leandro para mejorar presiones de los servicios de esos sectores.",Sustitución de tuberías,MEA22,ME-A-22 Pizote,,,,,,"Priorizar, diseñar y financiar la sustitución de redes o conducciones deterioradas.",ID 115; Zona: Zona 4; Pri.: Estratégico; Plazo: Corto a mediano; Costo: Mediano; Estado: Pendiente.,,,,,2.0
167,,Sustituir tuberías frente a Municipalidad de San Pablo,"Se requiere sustitución de tuberías en calle frente a Municipalidad de San Pablo por fugas recurrentes, Avenida 4 hacia el sur.",Sustitución de tuberías,MEA15,ME-A-15 San Pablo,,,,,,"Priorizar, diseñar y financiar la sustitución de redes o conducciones deterioradas.",ID 116; Zona: Zona 4; Pri.: Estratégico; Plazo: Corto a mediano; Costo: Mediano; Estado: Pendiente.,,,,,1.0
